Abayhan,آبایخان
Barsbey,بارسبگ
Bars,بارس
Bartu,بارتو
Başağa,باشاغه
Basak,باساق
Basak,باشاق
Basak,بشاق
Başal,باشال
Basa,باسه
Basa,باصه
Başargan,باشارغان
Başarman,باشارمان
Başar,باشار
Başat,باشات
Başaydın,باشایدین
Başbay,باشبای
Başbuğ,باشبوغ
Başdemir,باشدمیر
Başdoğan,باشطوغان
Başeğmez,باش اگمز
Başel,باش أل
Başer,باشر
Başhan,باشخان
Basım,باصیم
Basir,باصر
Basir,باصیر
Baskak,باشقاق
Başkal,باشقال
Baskan,باصقان
Başkan,باشقان
Başkara,باشقره
Başkaya,باشقیه
Başkaynak,باشقایناق
Baskın,باصقین
Başkur,باشقور
Başkurt,باشقورت
Başkut,باشقوت
Başman,باشمان
Başok,باش اوق
Başol,باشول
Başöz,باشوز
Basri,بصری
Başsoy,باشصوی
Baştaş,باشطاش
Baştemir,باشدمیر
Baştugay,باشطوغای
Baştuğ,باشطوغ
Baştürk,باشتورك
Basut,باسوط
Batıbay,باطیبای
Batıbey,باطیبگ
Batıcan,باطیجان
Batıhan,باطیخان
Batıkan,باطیقان
Batıray,باطیرآی
Batırhan,باطیرخان
Batır,باطیر
Battal,بطال
Batucem,باتو جم
Batuhan,باتو خان
Batu,باتو
Baturalp,باتور آلپ
Baturay,باتور آی
Baturhan,باتورخان
Batur,باتور
Bayar,بایار
Baybars,بایبارس
Baybaş,بایباش
Baybek,بایبك
Baybora,بایبوره
Baybörü,بایبورو
Baycan,بایجان
Bayça,بایچه
Baydoğan,بایطوغان
Baydu,بایدو
Bayduralp,بایدور آلپ
Baydur,بایدور
Bayer,بایر
Bayezit,بیازید
Baygüç,بایگوچ
Bayhan,بایخان
Bayhun,بایخون
Bayık,باییق
Bayındır,باییندیر
Bayın,بایین
Bayırhan,باییرخان
Bayır,باییر
Baykal,بایقال
Baykam,بایقام
Baykan,بایقان
Baykara,بایقره
Baykır,بایقیر
Baykoca,بایقوجه
Baykoca,بایخواجه
Baykor,بایقور
Baykul,بایقول
Baykurt,بایقورت
Baykutay,بایقوتای
Baykut,بایقوت
Bayman,بایمان
Bayol,بایول
Bayrak,بیرق
Bayrak,بایراق
Bayraktar,بیراقدار
Bayraktar,بیرقدار
Bayram,بایرم
Bayrı,بایری
Bayrualp,بایرو آلپ
Bayrubay,بایروبای
Bayruhan,بایروخان
Bayruk,بایروق
Bayru,بایرو
Baysan,بایسان
Baysoy,بایصوی
Baysungur,بایصونغور
Baysu,بایصو
Baytal,بایتال
Baytaş,بایطاش
Baytekin,بایتكین
Baytimur,بایتیمور
Baytok,بایطوق
Baytugay,بایطوغای
Baytüze,بایتوزه
Baytüzün,بایتوزون
Bayuk,بایوق
Bayülken,بایولگن
Bayyiğit,بایییگیت
Bayyiğit,باییگیت
Bedel,بدل
Bedih,بدیخ
Bedi,بدیع
Bedirhan,بدرخان
Bedirhan,بدیرخان
Bedir,بدر
Bedir,بدیر
Bedrettin,بدرالدین
Bedri,بدری
Bedük,بدوك
Beğenç,بگنچ
Behçet,بهچت
Behiç,بهیج
Behlül,بهلول
Behmen,بهمن
Behnan,بهنان
Behram,بهرام
Behzat,بهزاد
Bekâm,بكام
Bekata,بكاتا
Bekbars,بكبارس
Bekbay,بكبای
Bekdemir,بكدمیر
Bekdil,بكدل
Bekem,بكم
Beker,بكر
Bekir,بكر
Bek,بك
Beksan,بكسان
Bektaş,بكطاش
Bektöre,بكتوره
Bektürk,بكتورك
Beleda,بله دا
Belek,بلك
Belen,بلن
Belge,بلگه
Beliğ,بلیغ
Bellek,بللك
Bellek,بلك
Bellisan,بللیسان
Benal,بنال
Benam,بنام
Benazir,بنازیر
Bender,بندر
Bendeş,بندش
Bener,بنر
Bengialp,بنگی آلپ
Bengialp,بنگو آلپ
Bengibay,بنگی بای
Bengisoy,بنگی صوی
Bengitaş,بنگی طاش
Benol,بنول
Bent,بند
Bentürk,بن تورك
Benzer,بڭزر
Berat,برات
Berge,برگه
Bergin,برگین
