âbâ,آباء
dâhilî,"دَاخِل۪ي "
dâhiliye vekâleti,"دَاخِلِيَه وَكَالَتِي "
dâhiliye vekîli,"دَاخِلِيَه وَكِيلِ "
dâhiye,دَاهِيَه
dâ'î,"دَاع۪ي "
dâm,دَامْ
dâr,دَارْ
dâr-ı âhiret,داَرِ اَخِرَتْ
dâr-ı cezâ,"دَارِ جَزَا "
dâr-ı elem,دَارِ اَلَمْ
dâr-ı fânî,دَارِ فَان۪ي
dâr-ı imtihân,دَارِ اِمْتِحَانْ
dâr-ı mücâzât,"دَارِ مُجَازَاتْ "
dâr-ı saâdet,"دَارِ سَعَادَتْ "
dâr-ı saadet,"دَارِ سَعَادَتْ "
dâr-ı teklîf,"دَارِ تَكْلِيفْ "
dâüssıla,دَاءُ الصِّلَه
de'b-i edeb,دَأْبِ اَدَبْ
deccâl,دَجَّالْ
def',"دَفْعْ "
def'î,دَفْع۪ي
def'-i belâ,"دَفْعِ بَلَا "
define,"دَف۪ينَه "
defter-i kebîr,دَفْتَرِ كَبِيرْ
defter-i a'mâl,دَفْتَرِ اَعْمَالْ
def'aten,دَفْعَةً
def'aten,دَفْعَةً
dehĀlet,"دَخَالَتْ "
dehâ-yı fennî,دَهَايِ فَنِّي
dehrî,دَهْر۪ي
delâlet,دَلَالَتْ
delâlet-i kelâm,دَلَالَتِ كَلاَمْ
delâlet-i zımniye,دَلَالَتِ ضِمْنِيَه
delîl,دَلِيلْ
delîl-i azhar,دَلِيلِ اَظْهَرْ
dem,دَمْ
demâdem,"دَمَادَمْ "
demdeme-i nebât,دَمْدَمَۀِ نَبَاتْ
denî,"دَن۪ي "
deniyet-i hâzıra,دَنِيَتِ حَاضِرَه
derbend,"دَرْبَنْدْ "
derc,دَرْجْ
derd-i maîşet,"دَرْدِ مَع۪يشَتْ "
derece-i kudret ve hikmet,دَرَجَۀِ قُدْرَتْ و حِكْمَتْ
derece-i sadâkat,دَرَجَۀِ صَدَاقَتْ
derece-i zekâvet,دَرَجَۀِ ذَكَاوَتْ
dergâh,"دَرْگَاهْ "
dergâh-ı ilâhîye,"دَرْگَاهِ اِلٰهِيَه "
dergâh-ı ilahî,دَرْكَاهِ اِلَهِي
dergâh-ı rahmet,دَرْكَاهِ رَحْمَتْ
derk,"دَرْكْ "
dermân,دَرْمَانْ
derûn,دَرُونْ
deruhde,"دَرْ عُهْدَه "
der'akab,"دَرْعَقَبْ "
deryâ,"دَرْيَا "
desîse,دَس۪يسَه
dessâs,"دَسَّاسْ "
dest,دَسْتْ
dest-i hikmet,دَسْتِ حِكْمِتْ
dest-i ihtiyâr,دَسْتِ اِخْتِيَارْ
dest-i ihtiyârî,دَسْتِ اِخْتِيَارِي
dest-i kudret,دَسْتِ قُدْرَتْ
devâ,دَوَا
devâ-yı ezhân,دَوَايِ اَذْهَانْ
devâ-yı illet,دَوَايِ عِلَّتْ
devâ-yı ma'nevî,"دَوَايِ مَعْنَوِيَه "
deverân,دَوَرَانْ
deverân-ı dem,دَوَرَانِ دَمْ
deveran-ı dünya,دَوَرَانِ دُنْيَا
devir,دَوِرْ
devr-i senevî,دَوْرِ سَنَو۪ي
dîde,"د۪يدَه "
dil,"دِلْ "
dimâğ,"دِمَاغْ "
dimağ,"دِمَاغْ "
dirâyet,"دِرَايَتْ "
dirhem,دِرْهَمْ
dîvân,"د۪يوَانْ "
dîvâne,"د۪يوَانَه "
dîvân-ı harb-i örfî,"د۪يوَانِ حَرْبِ عُرْف۪ي "
dîvân-ı riyâset,"د۪يوَانِ رِيَاسَتْ "
dîvanhâne,د۪يوَانْ خَانَه
diyânet,"دِيَانَتْ "
diyânet riyâseti,"دِيَانَتْ رِيَاسَتِي "
diyâr-ı gurbet,دِيَارِ غُرْبَتْ
dûr,"دُورْ "
düello,"دُوئَلْلُو "
dülger,دُولْگَرْ
dümdâr,"دُمْدَارْ "
dünyâperest,"دُنْيَاپَرَسْتْ "
dünyevî,دُنْيَو۪ي
dürbün,"دُورْب۪ينْ "
dürr-ü yetîm,دُرُّ يَتِيمْ
düstûr,"دُسْتُورْ "
düstûr-u belâgat,دُسْتُورُ بَلَاغَتْ
düstûr-u esâsî,دُسْتُورِ اَسَاس۪ي
düstûr-u teâvün,دُسْتُورُ تَعَاوُنْ
düstur-u cidâl,"دُسْتُورُجِدَالْ "
duhâ,"ضُحٰي "
duhûl,دُخُولْ
duhŪl,"دُخُولْ "
dağdağa,"دَغْدَغَه "
dağdağa-i kalbî,دَغْدَغَۀِ قَلْب۪ي
dakîk,"دَق۪يقْ "
dalâlet,ضَلَالَتْ
dalâlet-i fenniye,"ضَلَالَتِ فَنِّيَه "
darb,"ضَرْبْ "
darb-ı mesel,ضَرْبِ مَثَلْ
darr,ضَرّ
eâmm,اَعَامّْ
ebâbîl,"اَبَاب۪يلْ "
ebced,"اَبْجَدْ "
ebcedî,اَبْجَدِي
ebed,"اَبَدْ "
ebedî,اَبَد۪ي
ebediyet,"اَبَدِيَتْ "
ebedperest,"اَبَدْپَرَسْتْ "
ebeveyn,"اَبَوَيْنْ "
ebleh,اَبْلَهْ
eblağ,اَبْلَغْ
ebter,"اَبْتَرْ "
ebyaz,اَبْيَضْ
ecel-i muallak,"اَجَلِ مُعَلَّقْ "
echel,"اَجْهَلْ "
echel-i mutlak,اَجْهَلِ مُطْلَقْ
echeliyet,اَجْهَلِيَتْ
ecir,اَجِرْ
ecmel,اَجْمَلْ
ecnebî,"اَجْنَب۪ي "
eczâ,اَجْزَا
eczâ,اَجْزَا
ecza-yı esasiye,اَجْزَايِ اَسَاسِيَه
edeb-i muaşeret,اَدَبِ مُعَاشَرَتْ
edîb,"اَد۪يبْ "
ednâ,اَدْنَا
edvâr,"اَدْوَارْ "
edvâr-ı hamse,"اَدْوَارِ خَمْسَه "
edviye,"اَدْوِيَه "
edviye-i kur'âniye,اَدْوِيَۀِ قُرْاٰنِيَه
edviye-i rûhâniye,اَدْوِيَۀِ رُوحَانِيَه
efdal,اَفْضَلْ
efkâr,اَفْكَارْ
efkâr-ı âmme,اَفْكَارِ عَامَّه
eflâk,اَفْلَاكْ
efrâd,اَفْرَادْ
efrâd-ı millet,اَفْرَادِ مِلَّتْ
efrâd-ı mahsûsa,اَفْرَادِ مَخْصُوصَه
efrâd-ı ümmet,اَفْرَادِ اُمّتْ
ehil,"اَهِلْ "
ehl-i cezbe,اَهْلِ جَذْبَه
ehl-i diyânet,اَهْلِ دِيَانَتْ
ehl-i dünya,"اَهْلِ دُنْيَا "
ehl-i dalâlet,اَهْلِ ضَلَالَتْ
ehl-i felsefe ve hikmet,اَهْلِ فَلْسَفَه وَ حِكْمَتْ
ehl-i gaflet,"اَهْلِ غَفْلَتْ "
ehl-i garaz,"اَهْلِ غَرَضْ "
ehl-i hidâyet ve huzur,اَهْلِ هِدَايَتْ و حُضُورْ
ehl-i ihtisâs,اَهْلِ اِخْتِصَاصْ
ehl-i iltibas,اَهْلِ اِلْتِبَاسْ
ehl-i îmân,"اَهْلِ ا۪يمَانْ "
ehl-i kemâl,"اَهْلِ كَمَالْ "
ehl-i keşfe'l-kubûr,اَهْلِ كَشْفَ الْقُبُورْ
ehl-i keşif,"اَهْلِ كَشِفْ "
ehl-i kubûr,"اَهْلِ قُبُورْ "
ehl-i kur'ân,"اَهْلِ قُرْآنْ "
ehl-i kalb,اَهْلِ قَلْبْ
ehl-i maârif,"اَهْلِ مَعَارِفْ "
ehl-i ma'rifet,اَهْلِ مَعْرِفَتْ
ehl-i ma'rifet,"اَهْلِ مَعْرِفَتْ "
ehl-i nâmûs,"اَهْلِ نَامُوسْ "
ehl-i necât,اَهْلِ نَجَاتْ
ehl-i nifâk,"اَهْلِ نِفَاقْ "
ehl-i siyâset,اَهْلِ سِيَاسَتْ
ehl-i sünnet ve cemaat,اَهْلِ سُنَّتْ وَجَمَاعَتْ
ehl-i sadâkat,"اَهْلِ صَدَاقَتْ "
ehl-i salâh,"اَهْلِ صَلَاحْ "
ehl-i şirk,اَهْلِ شِرْكْ
ehl-i şirk ve dalâlet,اَهْلِ شِرْكْ وَ ضَلَالَتْ
ehl-i şirk ve tuğyân,اَهْلِ شِرْكْ وَطُغْيَانْ
ehl-i tefsîr,اَهْلِ تَفْسِيرْ
ehl-i temâşâ ve tefekkür,"اَهْلِ تَمَاشَا وَ تَفَكُّرْ "
ehl-i teslîs,اَهْلِ تَثْلِيثْ
ehl-i tevhîd,"اَهْلِ تَوْح۪يدْ "
ehl-i tuğyân,اَهْلِ طُغْيَانْ
ehl-i tahkîk,اَهْلِ تَحْق۪يقْ
ehl-i takvâ,"اَهْلِ تَقْوَا "
ehl-i tasavvuf,اَهْلِ تَصَوُّفْ
ehl-i velâyet,اَهْلِ وَلَايَتْ
ehl-i uzlet,اَهْلِ عُزْلَتْ
ehl-i akıl ve tahkîk,اَهْلِ عَقِلْ وَ تَحْق۪يقْ
ehl-i zevk,اَهْلِ ذَوْقْ
ehrâm,اَهْرَامْ
ehad,"اَحَدْ "
ehad-i samed,"اَحَدِ صَمَدْ "
ehadiyet,"اَحَدِيَتْ "
ehadiyet,اَحَدِيَتْ
ehak,اَحَقّْ
ehass-ı havâs,"اَخَصِّ خَوَاصْ "
ekber,اَكْبَرْ
ekmel,اَكْمَلْ
ekser,اَكْثَرْ
ekser-i mutlak,اَكْثَرِ مُطْلَقْ
ekserîn-i avâm,اَكْثَرِينِ عَوَامْ
ekseriyet,"اَكْثَرِيَتْ "
ekseriyet-i mutlaka,"اَكْثَرِيَتِ مُطْلَقَه "
ekseriya,اَكْثَرِيَا
ekvân,"اَكْوَانْ "
ekall,"اَقَلْ "
ekall-i zalim,اَقَلِّ ظَالِمْ
ekalliyet,اَقَلِّيَتْ
el'ân,"اَلْاٰنْ "
elem,اَلَمْ
el-emân,"اَلْاَمَانْ "
elem-i elîm,اَلَمِ اَلِيمْ
elfâz,"اَلْفَاظْ "
elhâsıl,اَلْحَاصِلْ
elhak,"اَلْحَقْ "
el-hak,اَلْحَقْ
elhamdülillâh,اَلْحَمْدُ لِلّٰهْ
elîm,اَل۪يمْ
elsine-i enâm,"اَلْسِنَۀِ اَنَامْ "
eltaf,اَلْطَفْ
elvân,اَلْوَانْ
elyak,اَلْيَقْ
elzem,"اَلْزَمْ "
emân,"اَمَانْ "
emâre,"اَمَارَه "
emâret,"اَمَارَتْ "
emel,اَمَلْ
emîn,"اَم۪ينْ "
emir,اَمِرْ
emîr,"اَم۪يرْ "
emirber,"اَمِرْبَرْ "
emn,اَمْنْ
emn ü adâlet,"اَمْنُ و عَدَالَتْ "
emniyet,اَمْنِيَتْ
emniyet-i dâhiliye,"اَمْنِيَتْ دَاخِلِيَه "
emrâz,اَمْرَاضْ
emr-i bâtıl,اَمرِ بَاطِلْ
emr-i cebrî,"اَمْرِ جَبْر۪ي "
emr-i ademî,"اَمْرِ عَدَم۪ي "
emsâl,اَمْثَالْ
emsâl,اَمْثَالْ
enâm,"اَنَامْ "
enbiyâ,اَنْبِيَا
ender,"اَنْدَرْ "
ene,"اَنَا "
enfüsî,اَنْفُسِي
enfa',اَنْفَعْ
engizisyon,"اَنْگِيزِيسْيُونْ "
enîn,اَن۪ينْ
enîs,اَن۪يسْ
entrika,"اَنْتْرِيقَه "
envâ',"اَنْوَاعْ "
envâr,اَنْوَارْ
erbâb-ı denâet,اَرْبَابِ دَنَائَتْ
erbaîn,"اَرْبَع۪ينْ "
erkân,اَرْكَانْ
erkân-ı âlem,"اَرْكَانِ عَالَمْ "
erkân-ı hamse-i islâm,اَرْكَانِ خَمْسَۀِ اِسْلَامِيَه
erkân-ı harb,"اَرْكَانِ حَرْبْ "
erkân-ı sitte-i îmân,اَرْكَانِ سِتَّۀِ اِيمَانِيَه
ervâh,اَرْوَاحْ
ervâh-ı âfilîn,اَرْوَاحِ آفِلِينْ
ervâh-ı bâkiye,"اَرْوَاحِ بَاقِيَه "
ervâh-ı habîse,"اَرْوَاحِ خَب۪يثَه "
ervâh-ı neyyire,اَرْوَاحِ نَيِّرَه
ervâh-ı sâfile,اَرْوَاحِ سَافِلَه
ervâh-ı tayyibe,اَرْوَاحِ طَيِّبَه
erzâk,اَرْزَاقْ
esâret,"اَسَارَتْ "
esbâb-ı kâinat,اَسْبَابِ كَائِنَاتْ
esbâb-ı mûcibe,اَسْبَابِ مُوجِبَه
esbâb-ı maddiye,اَسْبَابِ مَادِّيَه
esbâb-ı tabîiye,"اَسْبَابِ طَب۪يعِيَه "
esbâb-ı zâhiriye,"اَسْبَابِ ظَاهِرِيَه "
esedullâh,"اَسَدُ اللّٰهْ "
esef,"اَسَفْ "
eser-i hata,"اَثَرِ خَطَا "
eser-i ikrâm,اَثَرِ اِكْرَامْ
esfel-i sâfilîn,اَسْفَلِ سَافِل۪ينْ
eshel,اَسْهَلْ
es'ile," اَسْئِلَه"
esîr,اَث۪يرْ
eslem,اَسْلَمْ
esliha,اَسْلِحَه
esmâ,اَسْمَا
esmâ-yı ilâhiye,"اَسْمَايِ اِلٰهِيَه "
esmâ-yı kudsiye-i ilâhiye,"اَسْمَايِ قُدْسِيَۀِ اِلٰهِيَه "
esmâ-yı sitte,"اَسْمَايِ سِتَّه "
esmâ-yı sitte-i meşhûre,"اَسْمَايِ سِتَّۀِ مَشْهُورَه "
esnâf,اَصْنَافْ
esnâm,اَصْنَامْ
esrâr,اَسْرَارْ
esrâr-ı gaybiye,"اَسْرَارِ غَيْبِيَه "
esrâr-ı kelâm,"اَسْرَارِ كَلَامْ "
esrâr-ı kur'âniye,"اَسْرَارِ قُرْاٰنِيَه "
